Token ID,Left hand Rarity (min),Left hand Rarity (avg),Left hand Rarity (weighted),Right hand Rarity (min),Right hand Rarity (avg),Right hand Rarity (weighted),Shoes Rarity (min),Shoes Rarity (avg),Shoes Rarity (weighted),Hat Rarity (min),Hat Rarity (avg),Hat Rarity (weighted),Glasses Rarity (min),Glasses Rarity (avg),Glasses Rarity (weighted),Accessories Rarity (min),Accessories Rarity (avg),Accessories Rarity (weighted),# of Accessoriess,Top Rarity (min),Top Rarity (avg),Top Rarity (weighted),# of Tops,Bottom Rarity (min),Bottom Rarity (avg),Bottom Rarity (weighted),# of Bottoms,Body Rarity (min),Body Rarity (avg),Body Rarity (weighted),# of Bodys,Hair Rarity (min),Hair Rarity (avg),Hair Rarity (weighted),Mouth Rarity (min),Mouth Rarity (avg),Mouth Rarity (weighted),Beard Rarity (min),Beard Rarity (avg),Beard Rarity (weighted),Eyes Rarity (min),Eyes Rarity (avg),Eyes Rarity (weighted),Skin Rarity (min),Skin Rarity (avg),Skin Rarity (weighted),Niftiness,Power,Swag,Wealth,Empathy,Health,Total Skills,Skill Tier,Skill Rarity,Rarity (min),Rarity (avg),Rarity (weighted)
241,0.005859375,0.005859375,0.005859375,0.0244140625,0.0244140625,0.0244140625,0.1103515625,0.1103515625,0.1103515625,0.0146484375,0.0146484375,0.0146484375,0.140625,0.140625,0.140625,0.03125,0.03125,0.02423095703125,1,0.0205078125,0.0205078125,0.018805503845214844,1,0.0263671875,0.0263671875,0.02386951446533203,1,0.08203125,0.08203125,0.07353973388671875,1,0.0126953125,0.0126953125,0.0126953125,0.0595703125,0.0595703125,0.0595703125,0.015625,0.015625,0.015625,0.1064453125,0.1064453125,0.1064453125,0.1083984375,0.1083984375,0.1083984375,28,50,17,93,14,81,283,ordinary,0.845703125,5.1975295373167284e-21,5.1975295373167284e-21,2.999201534162186e-21
242,0.0517578125,0.0517578125,0.0517578125,0.1220703125,0.1220703125,0.1220703125,0.111328125,0.111328125,0.111328125,0.005859375,0.005859375,0.005859375,0.2958984375,0.2958984375,0.2958984375,0.0380859375,0.072265625,0.00446319580078125,2,0.03125,0.04150390625,0.002044677734375,2,0.005859375,0.005859375,0.0053043365478515625,1,0.0712890625,0.0712890625,0.06390953063964844,1,0.0400390625,0.0400390625,0.0400390625,0.2255859375,0.2255859375,0.2255859375,0.056640625,0.056640625,0.056640625,0.2294921875,0.2294921875,0.2294921875,0.0263671875,0.0263671875,0.0263671875,50,9,95,42,21,12,229,ordinary,0.845703125,1.587257207096742e-18,3.999939035512224e-18,9.877020274482639e-21
243,0.01953125,0.01953125,0.01953125,0.01171875,0.01171875,0.01171875,0.111328125,0.111328125,0.111328125,0.1962890625,0.1962890625,0.1962890625,0.2958984375,0.2958984375,0.2958984375,0.0732421875,0.0732421875,0.05679130554199219,1,0.0322265625,0.0322265625,0.02955150604248047,1,0.0087890625,0.0087890625,0.007956504821777344,1,0.013671875,0.013671875,0.012256622314453125,1,0.0087890625,0.0087890625,0.0087890625,0.0615234375,0.0615234375,0.0615234375,0.021484375,0.021484375,0.021484375,0.1064453125,0.1064453125,0.1064453125,0.1083984375,0.1083984375,0.1083984375,14,91,18,79,12,0,214,ordinary,0.845703125,4.7585461567604014e-20,4.7585461567604014e-20,2.745888951908744e-20
244,0.01953125,0.01953125,0.01953125,0.052734375,0.052734375,0.052734375,0.09765625,0.09765625,0.09765625,0.0478515625,0.0478515625,0.0478515625,0.064453125,0.064453125,0.064453125,0.07421875,0.07421875,0.05754852294921875,1,0.0224609375,0.0224609375,0.02059650421142578,1,0.015625,0.015625,0.0141448974609375,1,0.03515625,0.03515625,0.03151702880859375,1,0.0087890625,0.0087890625,0.0087890625,0.07421875,0.07421875,0.07421875,0.00390625,0.00390625,0.00390625,0.15625,0.15625,0.15625,0.03515625,0.03515625,0.03515625,21,54,93,83,1,0,252,ordinary,0.845703125,3.3626742765185604e-21,3.3626742765185604e-21,1.940409915251551e-21
245,0.0859375,0.0859375,0.0859375,0.04296875,0.04296875,0.04296875,0.0185546875,0.0185546875,0.0185546875,0.0380859375,0.0380859375,0.0380859375,0.083984375,0.083984375,0.083984375,0.0068359375,0.0068359375,0.0053005218505859375,1,0.001953125,0.001953125,0.0017910003662109375,1,0.015625,0.015625,0.0141448974609375,1,0.033203125,0.033203125,0.029766082763671875,1,0.0185546875,0.0185546875,0.0185546875,0.2021484375,0.2021484375,0.2021484375,0.056640625,0.056640625,0.056640625,0.15625,0.15625,0.15625,0.037109375,0.037109375,0.037109375,34,72,0,49,30,86,271,ordinary,0.845703125,1.5814410396757658e-21,1.5814410396757658e-21,9.12560545991865e-22
246,0.166015625,0.166015625,0.166015625,0.0703125,0.0703125,0.0703125,0.1103515625,0.1103515625,0.1103515625,0.0625,0.0625,0.0625,0.140625,0.140625,0.140625,0.017578125,0.043701171875,0.0005321502685546875,4,0.037109375,0.037109375,0.03402900695800781,1,0.0390625,0.0390625,0.03536224365234375,1,0.01171875,0.0400390625,0.0006866455078125,2,0.0205078125,0.0205078125,0.0205078125,0.064453125,0.064453125,0.064453125,0.013671875,0.013671875,0.013671875,0.2578125,0.2578125,0.2578125,0.041015625,0.041015625,0.041015625,1,77,85,95,69,46,373,silver,0.126953125,8.201402993296533e-20,6.966446362014266e-19,1.2076653239897985e-22
247,0.0771484375,0.0771484375,0.0771484375,0.0205078125,0.0205078125,0.0205078125,0.0263671875,0.0263671875,0.0263671875,0.009765625,0.009765625,0.009765625,0.0869140625,0.0869140625,0.0869140625,0.0166015625,0.04541015625,0.00194549560546875,2,0.03125,0.03125,0.028656005859375,1,0.0068359375,0.0068359375,0.006188392639160156,1,0.0888671875,0.0888671875,0.07966804504394531,1,0.0048828125,0.0048828125,0.0048828125,0.2021484375,0.2021484375,0.2021484375,0.0244140625,0.0244140625,0.0244140625,0.2578125,0.2578125,0.2578125,0.0126953125,0.0126953125,0.0126953125,1,65,72,56,29,5,228,ordinary,0.845703125,7.443628138195798e-22,2.0360512260359093e-21,6.491635043553e-23
248,0.0517578125,0.0517578125,0.0517578125,0.0205078125,0.0205078125,0.0205078125,0.0185546875,0.0185546875,0.0185546875,0.015625,0.015625,0.015625,0.0869140625,0.0869140625,0.0869140625,0.001953125,0.001953125,0.001514434814453125,1,0.0234375,0.0234375,0.02149200439453125,1,0.015625,0.015625,0.0141448974609375,1,0.009765625,0.009765625,0.008754730224609375,1,0.0048828125,0.0048828125,0.0048828125,0.0615234375,0.0615234375,0.0615234375,0.0234375,0.0234375,0.0234375,0.15625,0.15625,0.15625,0.0966796875,0.0966796875,0.0966796875,72,50,25,52,17,43,259,ordinary,0.845703125,1.6804108994764438e-23,1.6804108994764438e-23,9.696704773965555e-24
249,0.1923828125,0.1923828125,0.1923828125,0.07421875,0.07421875,0.07421875,0.0654296875,0.0654296875,0.0654296875,0.0625,0.0625,0.0625,0.2958984375,0.2958984375,0.2958984375,0.1025390625,0.1025390625,0.07950782775878906,1,0.0078125,0.0078125,0.00716400146484375,1,0.046875,0.046875,0.0424346923828125,1,0.0869140625,0.0869140625,0.07791709899902344,1,0.005859375,0.005859375,0.005859375,0.08984375,0.08984375,0.08984375,0.0302734375,0.0302734375,0.0302734375,0.2294921875,0.2294921875,0.2294921875,0.041015625,0.041015625,0.041015625,93,65,41,33,16,40,288,ordinary,0.845703125,7.153592881580422e-18,7.153592881580422e-18,4.1279355107396015e-18
250,0.01953125,0.01953125,0.01953125,0.02734375,0.02734375,0.02734375,0.04296875,0.04296875,0.04296875,0.0283203125,0.0283203125,0.0283203125,0.083984375,0.083984375,0.083984375,0.0361328125,0.0361328125,0.028017044067382812,1,0.0234375,0.0234375,0.02149200439453125,1,0.0361328125,0.0361328125,0.03271007537841797,1,0.0029296875,0.0029296875,0.0026264190673828125,1,0.01953125,0.01953125,0.01953125,0.125,0.125,0.125,0.0048828125,0.0048828125,0.0048828125,0.1630859375,0.1630859375,0.1630859375,0.0927734375,0.0927734375,0.0927734375,73,37,88,74,54,54,380,silver,0.126953125,1.1203846394727463e-22,1.1203846394727463e-22,6.46510867409745e-23
251,0.0224609375,0.0224609375,0.0224609375,0.0244140625,0.0244140625,0.0244140625,0.1103515625,0.1103515625,0.1103515625,0.037109375,0.037109375,0.037109375,0.2958984375,0.2958984375,0.2958984375,0.03125,0.03125,0.02423095703125,1,0.0146484375,0.0146484375,0.013432502746582031,1,0.0107421875,0.0107421875,0.009724617004394531,1,0.068359375,0.068359375,0.061283111572265625,1,0.001953125,0.001953125,0.001953125,0.2021484375,0.2021484375,0.2021484375,0.2783203125,0.2783203125,0.2783203125,0.1630859375,0.1630859375,0.1630859375,0.08984375,0.08984375,0.08984375,26,92,30,48,43,16,255,ordinary,0.845703125,3.041392830784352e-19,3.041392830784352e-19,1.7550164897740028e-19
252,0.033203125,0.033203125,0.033203125,0.1220703125,0.1220703125,0.1220703125,0.0205078125,0.0205078125,0.0205078125,0.03125,0.03125,0.03125,0.048828125,0.048828125,0.048828125,0.017578125,0.0537109375,0.000720977783203125,3,0.0048828125,0.0048828125,0.004477500915527344,1,0.0126953125,0.0126953125,0.011492729187011719,1,0.0869140625,0.0869140625,0.07791709899902344,1,0.1875,0.1875,0.1875,0.07421875,0.07421875,0.07421875,0.03515625,0.03515625,0.03515625,0.1064453125,0.1064453125,0.1064453125,0.1533203125,0.1533203125,0.1533203125,25,87,56,39,19,7,233,ordinary,0.845703125,8.110844782127574e-20,2.4783136834278697e-19,2.4757316103157927e-21
253,0.1923828125,0.1923828125,0.1923828125,0.0380859375,0.0380859375,0.0380859375,0.1103515625,0.1103515625,0.1103515625,0.0625,0.0625,0.0625,0.0869140625,0.0869140625,0.0869140625,0.0205078125,0.0205078125,0.015901565551757812,1,0.015625,0.015625,0.0143280029296875,1,0.005859375,0.005859375,0.0053043365478515625,1,0.060546875,0.060546875,0.054279327392578125,1,0.013671875,0.013671875,0.013671875,0.064453125,0.064453125,0.064453125,0.013671875,0.013671875,0.013671875,0.2578125,0.2578125,0.2578125,0.0419921875,0.0419921875,0.0419921875,13,66,72,100,7,99,357,silver,0.126953125,8.267569732273924e-21,8.267569732273924e-21,4.770748804177076e-21
